repetition,method,scenario,detected,detection_rate,delay_minutes,false_alarms,fa_rate_per_hour
5,EWMA,correlation_break,False,0.0000,,0,0.0000
5,MD,spike,True,1.0000,0,0,0.0000
5,MD,drift,True,1.0000,41,0,0.0000
5,MD,correlation_break,True,1.0000,0,0,0.0000
5,OOL,spike,False,0.0000,,0,0.0000
5,OOL,drift,False,0.0000,,0,0.0000
5,OOL,correlation_break,False,0.0000,,0,0.0000
6,EWMA,spike,False,0.0000,,0,0.0000
6,EWMA,drift,True,1.0000,53,0,0.0000
6,EWMA,correlation_break,False,0.0000,,0,0.0000
6,MD,spike,True,1.0000,0,0,0.0000
6,MD,drift,True,1.0000,41,0,0.0000
6,MD,correlation_break,True,1.0000,0,0,0.0000
6,OOL,spike,False,0.0000,,0,0.0000
6,OOL,drift,False,0.0000,,0,0.0000
6,OOL,correlation_break,False,0.0000,,0,0.0000
7,EWMA,spike,False,0.0000,,0,0.0000
7,EWMA,drift,True,1.0000,57,0,0.0000
7,EWMA,correlation_break,False,0.0000,,0,0.0000
7,MD,spike,True,1.0000,0,0,0.0000
7,MD,drift,True,1.0000,42,0,0.0000
7,MD,correlation_break,True,1.0000,0,0,0.0000
7,OOL,spike,False,0.0000,,0,0.0000
7,OOL,drift,False,0.0000,,0,0.0000
7,OOL,correlation_break,False,0.0000,,0,0.0000
8,EWMA,spike,False,0.0000,,0,0.0000
8,EWMA,drift,True,1.0000,59,0,0.0000
8,EWMA,correlation_break,False,0.0000,,0,0.0000
8,MD,spike,True,1.0000,0,0,0.0000
8,MD,drift,True,1.0000,44,0,0.0000
8,MD,correlation_break,True,1.0000,0,0,0.0000
8,OOL,spike,False,0.0000,,0,0.0000
8,OOL,drift,False,0.0000,,0,0.0000
8,OOL,correlation_break,False,0.0000,,0,0.0000
9,EWMA,spike,True,1.0000,4,0,0.0000
9,EWMA,drift,True,1.0000,36,0,0.0000
9,EWMA,correlation_break,False,0.0000,,0,0.0000
9,MD,spike,True,1.0000,0,0,0.0000
9,MD,drift,True,1.0000,39,0,0.0000
9,MD,correlation_break,True,1.0000,0,0,0.0000
9,OOL,spike,False,0.0000,,0,0.0000
9,OOL,drift,False,0.0000,,0,0.0000
9,OOL,correlation_break,False,0.0000,,0,0.0000
10,EWMA,spike,False,0.0000,,0,0.0000
10,EWMA,drift,True,1.0000,54,0,0.0000
10,EWMA,correlation_break,False,0.0000,,0,0.0000
10,MD,spike,True,1.0000,0,0,0.0000
10,MD,drift,True,1.0000,26,0,0.0000
10,MD,correlation_break,True,1.0000,0,0,0.0000
10,OOL,spike,False,0.0000,,0,0.0000
10,OOL,drift,False,0.0000,,0,0.0000
10,OOL,correlation_break,False,0.0000,,0,0.0000
11,EWMA,spike,False,0.0000,,0,0.0000
11,EWMA,drift,True,1.0000,53,0,0.0000
11,EWMA,correlation_break,False,0.0000,,0,0.0000
11,MD,spike,True,1.0000,0,0,0.0000
11,MD,drift,True,1.0000,41,0,0.0000
11,MD,correlation_break,True,1.0000,0,0,0.0000
11,OOL,spike,False,0.0000,,0,0.0000
11,OOL,drift,False,0.0000,,0,0.0000
11,OOL,correlation_break,False,0.0000,,0,0.0000
12,EWMA,spike,False,0.0000,,0,0.0000
12,EWMA,drift,True,1.0000,53,0,0.0000
12,EWMA,correlation_break,False,0.0000,,0,0.0000
12,MD,spike,True,1.0000,0,0,0.0000
12,MD,drift,True,1.0000,40,0,0.0000
12,MD,correlation_break,True,1.0000,0,0,0.0000
12,OOL,spike,False,0.0000,,0,0.0000
12,OOL,drift,False,0.0000,,0,0.0000
12,OOL,correlation_break,False,0.0000,,0,0.0000
13,EWMA,spike,False,0.0000,,0,0.0000
13,EWMA,drift,True,1.0000,57,0,0.0000
13,EWMA,correlation_break,False,0.0000,,0,0.0000
13,MD,spike,True,1.0000,0,0,0.0000
13,MD,drift,True,1.0000,43,0,0.0000
13,MD,correlation_break,True,1.0000,0,0,0.0000
13,OOL,spike,False,0.0000,,0,0.0000
13,OOL,drift,False,0.0000,,0,0.0000
13,OOL,correlation_break,False,0.0000,,0,0.0000
14,EWMA,spike,False,0.0000,,0,0.0000
14,EWMA,drift,True,1.0000,48,0,0.0000
14,EWMA,correlation_break,False,0.0000,,0,0.0000
14,MD,spike,True,1.0000,0,0,0.0000
14,MD,drift,True,1.0000,42,0,0.0000
14,MD,correlation_break,True,1.0000,0,0,0.0000
14,OOL,spike,False,0.0000,,0,0.0000
14,OOL,drift,False,0.0000,,0,0.0000
14,OOL,correlation_break,False,0.0000,,0,0.0000
15,EWMA,spike,False,0.0000,,0,0.0000
15,EWMA,drift,True,1.0000,57,0,0.0000
15,EWMA,correlation_break,False,0.0000,,0,0.0000
15,MD,spike,True,1.0000,0,0,0.0000
15,MD,drift,True,1.0000,31,0,0.0000
15,MD,correlation_break,True,1.0000,0,0,0.0000
15,OOL,spike,False,0.0000,,0,0.0000
15,OOL,drift,False,0.0000,,0,0.0000
15,OOL,correlation_break,False,0.0000,,0,0.0000
16,EWMA,spike,False,0.0000,,0,0.0000
16,EWMA,drift,True,1.0000,54,0,0.0000
16,EWMA,correlation_break,False,0.0000,,0,0.0000
16,MD,spike,True,1.0000,0,0,0.0000
16,MD,drift,True,1.0000,41,0,0.0000
16,MD,correlation_break,True,1.0000,0,0,0.0000
16,OOL,spike,False,0.0000,,0,0.0000
16,OOL,drift,False,0.0000,,0,0.0000
16,OOL,correlation_break,False,0.0000,,0,0.0000
17,EWMA,spike,True,1.0000,4,0,0.0000
17,EWMA,drift,True,1.0000,58,0,0.0000
17,EWMA,correlation_break,False,0.0000,,0,0.0000
17,MD,spike,True,1.0000,0,0,0.0000
17,MD,drift,True,1.0000,43,0,0.0000
17,MD,correlation_break,True,1.0000,0,0,0.0000
17,OOL,spike,False,0.0000,,0,0.0000
17,OOL,drift,False,0.0000,,0,0.0000
17,OOL,correlation_break,False,0.0000,,0,0.0000
18,EWMA,spike,False,0.0000,,0,0.0000
18,EWMA,drift,True,1.0000,56,0,0.0000
18,EWMA,correlation_break,False,0.0000,,0,0.0000
18,MD,spike,True,1.0000,0,0,0.0000
18,MD,drift,True,1.0000,44,0,0.0000
18,MD,correlation_break,True,1.0000,0,0,0.0000
18,OOL,spike,False,0.0000,,0,0.0000
18,OOL,drift,False,0.0000,,0,0.0000
18,OOL,correlation_break,False,0.0000,,0,0.0000
19,EWMA,spike,False,0.0000,,0,0.0000
19,EWMA,drift,True,1.0000,59,0,0.0000
19,EWMA,correlation_break,False,0.0000,,0,0.0000
19,MD,spike,True,1.0000,0,0,0.0000
19,MD,drift,True,1.0000,44,0,0.0000
19,MD,correlation_break,True,1.0000,0,0,0.0000
19,OOL,spike,False,0.0000,,0,0.0000
19,OOL,drift,False,0.0000,,0,0.0000
19,OOL,correlation_break,False,0.0000,,0,0.0000
20,EWMA,spike,False,0.0000,,0,0.0000
20,EWMA,drift,True,1.0000,57,0,0.0000
20,EWMA,correlation_break,False,0.0000,,0,0.0000
20,MD,spike,True,1.0000,0,0,0.0000
20,MD,drift,True,1.0000,44,0,0.0000
20,MD,correlation_break,True,1.0000,0,0,0.0000
20,OOL,spike,False,0.0000,,0,0.0000
20,OOL,drift,False,0.0000,,0,0.0000
20,OOL,correlation_break,False,0.0000,,0,0.0000
21,EWMA,spike,False,0.0000,,0,0.0000
21,EWMA,drift,True,1.0000,58,0,0.0000
21,EWMA,correlation_break,False,0.0000,,0,0.0000
21,MD,spike,True,1.0000,0,0,0.0000
21,MD,drift,True,1.0000,44,0,0.0000
21,MD,correlation_break,True,1.0000,0,0,0.0000
21,OOL,spike,False,0.0000,,0,0.0000
21,OOL,drift,False,0.0000,,0,0.0000
21,OOL,correlation_break,False,0.0000,,0,0.0000
22,EWMA,spike,False,0.0000,,0,0.0000
22,EWMA,drift,True,1.0000,52,0,0.0000
22,EWMA,correlation_break,False,0.0000,,0,0.0000
22,MD,spike,True,1.0000,0,0,0.0000
22,MD,drift,True,1.0000,40,0,0.0000
22,MD,correlation_break,True,1.0000,0,0,0.0000
22,OOL,spike,False,0.0000,,0,0.0000
22,OOL,drift,False,0.0000,,0,0.0000
22,OOL,correlation_break,False,0.0000,,0,0.0000
23,EWMA,spike,False,0.0000,,0,0.0000
23,EWMA,drift,True,1.0000,51,0,0.0000
23,EWMA,correlation_break,False,0.0000,,0,0.0000
23,MD,spike,True,1.0000,0,0,0.0000
23,MD,drift,True,1.0000,42,0,0.0000
23,MD,correlation_break,True,1.0000,0,0,0.0000
23,OOL,spike,False,0.0000,,0,0.0000
23,OOL,drift,False,0.0000,,0,0.0000
23,OOL,correlation_break,False,0.0000,,0,0.0000
24,EWMA,spike,False,0.0000,,0,0.0000
24,EWMA,drift,True,1.0000,53,0,0.0000
24,EWMA,correlation_break,False,0.0000,,0,0.0000
24,MD,spike,True,1.0000,0,0,0.0000
24,MD,drift,True,1.0000,18,0,0.0000
24,MD,correlation_break,True,1.0000,0,0,0.0000
24,OOL,spike,False,0.0000,,0,0.0000
24,OOL,drift,False,0.0000,,0,0.0000
24,OOL,correlation_break,False,0.0000,,0,0.0000
25,EWMA,spike,False,0.0000,,0,0.0000
25,EWMA,drift,True,1.0000,58,0,0.0000
25,EWMA,correlation_break,False,0.0000,,0,0.0000
25,MD,spike,True,1.0000,0,0,0.0000
25,MD,drift,True,1.0000,44,0,0.0000
25,MD,correlation_break,True,1.0000,0,0,0.0000
25,OOL,spike,False,0.0000,,0,0.0000
25,OOL,drift,False,0.0000,,0,0.0000
25,OOL,correlation_break,False,0.0000,,0,0.0000
26,EWMA,spike,False,0.0000,,0,0.0000
26,EWMA,drift,True,1.0000,58,0,0.0000
26,EWMA,correlation_break,False,0.0000,,0,0.0000
26,MD,spike,True,1.0000,0,0,0.0000
26,MD,drift,True,1.0000,40,0,0.0000
26,MD,correlation_break,True,1.0000,0,0,0.0000
26,OOL,spike,False,0.0000,,0,0.0000
26,OOL,drift,False,0.0000,,0,0.0000
26,OOL,correlation_break,False,0.0000,,0,0.0000
27,EWMA,spike,False,0.0000,,0,0.0000
27,EWMA,drift,True,1.0000,51,0,0.0000
27,EWMA,correlation_break,False,0.0000,,0,0.0000
27,MD,spike,True,1.0000,0,0,0.0000
27,MD,drift,True,1.0000,40,0,0.0000
27,MD,correlation_break,True,1.0000,0,0,0.0000
27,OOL,spike,False,0.0000,,0,0.0000
27,OOL,drift,False,0.0000,,0,0.0000
27,OOL,correlation_break,False,0.0000,,0,0.0000
28,EWMA,spike,False,0.0000,,0,0.0000
28,EWMA,drift,True,1.0000,57,0,0.0000
28,EWMA,correlation_break,False,0.0000,,0,0.0000
28,MD,spike,True,1.0000,0,0,0.0000
28,MD,drift,True,1.0000,44,0,0.0000
28,MD,correlation_break,True,1.0000,0,0,0.0000
28,OOL,spike,False,0.0000,,0,0.0000
28,OOL,drift,False,0.0000,,0,0.0000
28,OOL,correlation_break,False,0.0000,,0,0.0000
29,EWMA,spike,False,0.0000,,0,0.0000
29,EWMA,drift,True,1.0000,56,0,0.0000
29,EWMA,correlation_break,False,0.0000,,0,0.0000
29,MD,spike,True,1.0000,0,0,0.0000
29,MD,drift,True,1.0000,9,0,0.0000
29,MD,correlation_break,True,1.0000,0,0,0.0000
29,OOL,spike,False,0.0000,,0,0.0000
29,OOL,drift,False,0.0000,,0,0.0000
29,OOL,correlation_break,False,0.0000,,0,0.0000
