repetition,method,scenario,detected,detection_rate,delay_minutes,false_alarms,fa_rate_per_hour
0,EWMA,spike,False,0.0000,,0,0.0000
0,EWMA,drift,True,1.0000,53,0,0.0000
0,EWMA,correlation_break,False,0.0000,,0,0.0000
0,MD,spike,True,1.0000,0,0,0.0000
0,MD,drift,True,1.0000,42,0,0.0000
0,MD,correlation_break,True,1.0000,0,0,0.0000
0,OOL,spike,False,0.0000,,0,0.0000
0,OOL,drift,False,0.0000,,0,0.0000
0,OOL,correlation_break,False,0.0000,,0,0.0000
1,EWMA,spike,False,0.0000,,0,0.0000
1,EWMA,drift,True,1.0000,52,0,0.0000
1,EWMA,correlation_break,False,0.0000,,0,0.0000
1,MD,spike,True,1.0000,0,0,0.0000
1,MD,drift,True,1.0000,41,0,0.0000
1,MD,correlation_break,True,1.0000,0,0,0.0000
1,OOL,spike,False,0.0000,,0,0.0000
1,OOL,drift,False,0.0000,,0,0.0000
1,OOL,correlation_break,False,0.0000,,0,0.0000
2,EWMA,spike,False,0.0000,,0,0.0000
2,EWMA,drift,True,1.0000,53,0,0.0000
2,EWMA,correlation_break,False,0.0000,,0,0.0000
2,MD,spike,True,1.0000,0,0,0.0000
2,MD,drift,True,1.0000,41,0,0.0000
2,MD,correlation_break,True,1.0000,0,0,0.0000
2,OOL,spike,False,0.0000,,0,0.0000
2,OOL,drift,False,0.0000,,0,0.0000
2,OOL,correlation_break,False,0.0000,,0,0.0000
3,EWMA,spike,False,0.0000,,0,0.0000
3,EWMA,drift,True,1.0000,36,0,0.0000
3,EWMA,correlation_break,False,0.0000,,0,0.0000
3,MD,spike,True,1.0000,0,0,0.0000
3,MD,drift,True,1.0000,39,0,0.0000
3,MD,correlation_break,True,1.0000,0,0,0.0000
3,OOL,spike,False,0.0000,,0,0.0000
3,OOL,drift,False,0.0000,,0,0.0000
3,OOL,correlation_break,False,0.0000,,0,0.0000
4,EWMA,spike,False,0.0000,,0,0.0000
4,EWMA,drift,True,1.0000,53,0,0.0000
4,EWMA,correlation_break,False,0.0000,,0,0.0000
4,MD,spike,True,1.0000,0,0,0.0000
4,MD,drift,True,1.0000,42,0,0.0000
4,MD,correlation_break,True,1.0000,0,0,0.0000
4,OOL,spike,False,0.0000,,0,0.0000
4,OOL,drift,False,0.0000,,0,0.0000
4,OOL,correlation_break,False,0.0000,,0,0.0000
5,EWMA,spike,False,0.0000,,0,0.0000
5,EWMA,drift,True,1.0000,56,0,0.0000
