method,scenario,repetitions,detected_mean,detected_std,detection_rate_mean,detection_rate_std,delay_mean,delay_std,false_alarms_mean,false_alarms_std,fa_rate_mean,fa_rate_std
EWMA,spike,30,0.0667,0.2537,0.0667,0.2537,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000
EWMA,drift,30,1.0000,0.0000,1.0000,0.0000,53.6000,5.5186,0.0000,0.0000,0.0000,0.0000
EWMA,correlation_break,30,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000
MD,spike,30,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.2500,0.0000
MD,drift,30,0.9667,0.1826,0.9667,0.1826,25.5517,4.0496,2.6333,0.4901,0.2194,0.0408
MD,correlation_break,30,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.9333,0.2537,0.2444,0.0211
OOL,spike,30,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000
OOL,drift,30,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000
OOL,correlation_break,30,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000
